facility_name,is_permanent,facility_type,boundary_code,administrative_area,address,latitude,longitude,parent_code,uuid,target,contact_phone
Matola Central Hospital,TRUE,Hospital,LOC_001,Matola Central,Av Principal 123,-25.9620,32.4590,DST_001,uuid-fac-001,5000,+258850000001
Matola Norte Clinic,TRUE,Clinic,LOC_002,Matola Norte,Rua da Saude 45,-25.9500,32.4700,DST_001,uuid-fac-002,4500,+258850000002
Boane Health Center,TRUE,Health Center,LOC_003,Boane Centro,Av Libertade 78,-26.0400,32.3800,DST_002,uuid-fac-003,4000,+258850000003
Boane Sul Clinic,TRUE,Clinic,LOC_004,Boane Sul,Rua Nova 12,-26.0600,32.3600,DST_002,uuid-fac-004,3500,+258850000004
Xai-Xai Central Hospital,TRUE,Hospital,LOC_005,Xai-Xai Centro,Av Principal 200,-25.0520,35.0460,DST_003,uuid-fac-005,6000,+258850000005
Xai-Xai Norte Clinic,TRUE,Clinic,LOC_006,Xai-Xai Norte,Rua Esperanca 55,-25.0300,35.0600,DST_003,uuid-fac-006,3000,+258850000006
Aldeia Paz Health Post,TRUE,Health Post,VLG_001,Aldeia Paz,Centro da Aldeia,-25.9700,32.4500,LOC_001,uuid-fac-007,1500,+258850000007
Aldeia Esperanca Health Post,TRUE,Health Post,VLG_002,Aldeia Esperanca,Zona Central,-25.9650,32.4550,LOC_001,uuid-fac-008,1500,+258850000008
Aldeia Uniao Health Post,TRUE,Health Post,VLG_003,Aldeia Uniao,Entrada Principal,-25.9550,32.4650,LOC_002,uuid-fac-009,1200,+258850000009
Aldeia Progresso Health Post,TRUE,Health Post,VLG_004,Aldeia Progresso,Centro,-25.9450,32.4750,LOC_002,uuid-fac-010,1300,+258850000010
